odk410,Silver 4,74W,79L,2017-12-08 16:44:48 +0900
통스통스,Bronze 4,114W,161L,2017-12-08 16:46:39 +0900
통스통스,Bronze 4,114W,161L,2017-12-08 16:46:39 +0900
